,Unnamed: 0,Unnamed: 0.1,Center,n,lemma,case,number,gender,Author,Header,Created,Type,Full context,Ord_type
0,0,0,пятая,5,пятый,Nom,Sing,Fem,Н. Н. Пунин,Письма М. А. Голубевой,1950,письмо личное,Посылки также стали опаздывать; пятая шла 20 дней; я изнемог в ожидании.,order in time
1,1,1,первая,1,первый,Nom,Sing,Fem,Н. Н. Пунин,Письма М. А. Голубевой,1950,письмо личное,"Первая «восторженная» посылка обрадовала всех, меня окружающих.",order in time
2,2,2,второе,2,второй,Acc,Sing,Neut,Н. Н. Пунин,Письма М. А. Голубевой,1950,письмо личное,Пользуюсь своим правом послать тебе второе письмо в этом году.,order in time
3,3,3,первых,1,первый,Gen,Plur,,епископ Иларион (Алфеев),Русская церковь и объединяющаяся Европа: перспективы взаимоаействия,2002,статья,"Необходимо вмешаться в эту ситуацию и дать возможность всем, кто на Западе интересуется Русской Церковью, получать сведения о ней «из первых рук».",deictic order
4,4,4,первой,1,первый,Gen,Sing,Fem,епископ Иларион (Алфеев),Русская церковь и объединяющаяся Европа: перспективы взаимоаействия,2002,статья,"Таким образом, первой и основной задачей брюссельского представительства Русской Православной Церкви является участие в тех дискуссиях о будущем Европы, которые уже идут в европейских международных организациях.",order in importance
5,5,5,второй,2,второй,Nom,Sing,Masc,епископ Иларион (Алфеев),Русская церковь и объединяющаяся Европа: перспективы взаимоаействия,2002,статья,"После Второй мировой войны, когда Европа лежала в руинах, особенно очевидной стала необходимость общеевропейской консолидации для выживания не только европейского континента, но и всего мира.",proper name
6,6,6,третий,3,третий,Nom,Sing,Masc,неизвестный,В свободную минуту,1908,загадка,Мой третий слог -- иные видят в этом,linear order
7,7,7,второе,2,второй,Acc,Sing,Neut,неизвестный,В свободную минуту,1908,загадка,"Второе, хоть не брачный, но союз.",linear order
8,8,8,первым,1,первый,Ins,Sing,Masc,неизвестный,В свободную минуту,1908,загадка,Французы первым звали государей...,linear order
9,9,9,первый,1,первый,Nom,Sing,Masc,,Отправка собак-санитаров в действующую армию,1915,заметка,Вчера из Москвы в действующую армию был отправлен первый русский отряд собак-санитаров питомника общества Московско-Казанской железной дороги.,order in time
10,10,10,второй,2,второй,Nom,Sing,Masc,неизвестный,Изо дня в день. Цветок гигантского растения,1909,информационное сообщение,В ночь на сегодня в оранжереях Ботанического сада распустился второй белый цветок гигантского водяного растения с реки Амазонки «Викториа региа».,order in time
11,11,12,первом,1,первый,Loc,Sing,Masc,неизвестный,Вести,1906,информационное сообщение,"В ней, особенно в первом романсе Надира, г.",order in time
12,12,13,первый,1,первый,Nom,Sing,Masc,неизвестный,Л. Н. Толстой и И. И. Мечников,1909,заметка,"И, несомненно, их близкая душевная беседа, в первый раз, на склоне лет, когда оба они достигли вершин своей славы и полного развития всех своих могучих сил, такая беседа имеет громадное значение.",times
13,13,14,первый,1,первый,Nom,Sing,Masc,неизвестный,Московская хроника,1906,информационное сообщение,"Сегодня к утру в Москве выпал первый снег, который к полудню растаял.",order in time
14,14,15,седьмой,7,седьмой,Nom,Sing,Masc,,Регион нуждается в рекламе,2003,заметка,"Уже сейчас каждый седьмой гражданин США, не работающий в военных структурах, занят в сфере туризма.",every ord
15,15,16,пятое,5,пятый,Acc,Sing,Neut,,Регион нуждается в рекламе,2003,заметка,"В частности, в США сфера туризма сейчас занимает пятое место, однако к 2005 году она должна выдвинуться на второе.",quantity order
16,16,17,второе,2,второй,Acc,Sing,Neut,,Регион нуждается в рекламе,2003,заметка,"В частности, в США сфера туризма сейчас занимает пятое место, однако к 2005 году она должна выдвинуться на второе.",quantity order
17,17,18,первых,1,первый,Gen,Plur,,"А. Щербаков, А. Я. Малышев",От станка — в аудиторию!,1970,интервью,"Расскажите, пожалуйста, о тех проблемах, заботах, которые уже сейчас, после первых месяцев работы отделения, дают себя знать? ",beginning
18,18,19,пятого,5,пятый,Gen,Sing,Masc,"А. Щербаков, А. Я. Малышев",От станка — в аудиторию!,1970,интервью,"Более десяти лет производственного стажа имеет слесарь пятого разряда Константин Карицкий, а его тезка Константин Воюш после средней школы был трактористом, лотом служил в армии, теперь готовится в университет...",order in importance
19,19,20,первых,1,первый,Gen,Plur,,"А. Щербаков, А. Я. Малышев",От станка — в аудиторию!,1970,интервью,Что можно сказать о первых месяцах существования подготовительных отделений в вузах страны?» ,beginning
20,20,21,первая,1,первый,Nom,Sing,Fem,Инна Щепеткова,Сладкая парочка: угри + прыщи,2002,статья,Первая рассчитана на более грубую кожу и потому более активна.,anaphoric order
21,21,22,второй,2,второй,Nom,Sing,Masc,Инна Щепеткова,Сладкая парочка: угри + прыщи,2002,статья,"Второй из реабилитационных лечебных кремов, Скинорен (с азелаиновой кислотой), -- мягкое, деликатное средство от угрей.",anaphoric order
22,22,23,второго,2,второй,Gen,Sing,Masc,Инна Щепеткова,Сладкая парочка: угри + прыщи,2002,статья,"Этот мелкий паразит, живущий в дерме у каждого второго из нас, обычно ведет себя тихо и незаметно.",every ord
23,23,24,первая,1,первый,Nom,Sing,Fem,Инна Щепеткова,Сладкая парочка: угри + прыщи,2002,статья,"Первая часть проблемы -- забота специалистов многих профилей: эндокринолога, гастроэнтеролога, отоларинголога и т.д.",order in importance
24,24,25,первый,1,первый,Nom,Sing,Masc,,Японский взгляд на русскую ипотеку,2004,заметка,"И это, безусловно, нужно расценивать как первый шаг в развитии сотрудничества в этой сфере.",beginning
25,25,26,втором,2,второй,Loc,Sing,Masc,Людмила Карлова,Дневник,1966,"дневник, записные книжки","Слышала позже, что партийное начальство на втором отделении покинуло зал после вручения грамот...) ",order in time
26,26,27,вторым,2,второй,Ins,Sing,Masc,Людмила Карлова,Дневник,1966,"дневник, записные книжки",Перед вторым отделением концерта состоялось вручение приветственных грамот и Адресов оркестру.,order in time
27,27,28,втором,2,второй,Loc,Sing,Masc,Людмила Карлова,Дневник,1966,"дневник, записные книжки",Во втором отделении 13 Симфония Д. Шостаковича.,order in time
28,28,29,первом,1,первый,Loc,Sing,Masc,Людмила Карлова,Дневник,1966,"дневник, записные книжки",В первом отделении Глинка.,order in time
29,29,30,тринадцатой,13,тринадцатый,Ins,Sing,Fem,Людмила Карлова,Дневник,1966,"дневник, записные книжки",Басы с хором Юрлова будут участвовать в исполнении в нашем Оперном Тринадцатой симфонии Дм.,proper name
30,30,31,вторая,2,второй,Nom,Sing,Fem,И. Луначарская,Как связать азот,1966,статья,"Первая подавляет рост сорняков на полях злаковых культур, вторая применяется для очистки земель под пашни -- уничтожает мелкие деревья и кустарники.",anaphoric order
31,31,32,первая,1,первый,Nom,Sing,Fem,И. Луначарская,Как связать азот,1966,статья,"Первая подавляет рост сорняков на полях злаковых культур, вторая применяется для очистки земель под пашни -- уничтожает мелкие деревья и кустарники.",anaphoric order
32,32,33,первым,1,первый,Ins,Sing,Masc,И. Луначарская,Как связать азот,1966,статья,"Первым ее приготовил, действуя серной кислотой на селитру, один из крупнейших химиков XVII века Глаубер.",order in time
33,33,34,первому,1,первый,Dat,Sing,Neut,И. Луначарская,Как связать азот,1966,статья,"Русскому биохимику С.Н. Виноградскому первому удалось выделить из почвы один вид бактерий, связывающих азот.",order in time
34,34,35,первым,1,первый,Ins,Sing,Masc,И. Луначарская,Как связать азот,1966,статья,"Идею о том, что некоторые микроорганизмы могут связывать азот воздуха, первым высказал русский физик П. Коссович.",order in time
35,35,36,третьи,3,третий,Nom,Plur,,И. Луначарская,Как связать азот,1966,статья,"Вот как описывал действие закиси азота один из современников Дэви: «Одни джентльмены прыгали по столам и стульям, у других развязались языки, третьи обнаружили чрезвычайную склонность к потасовке».",anaphoric order
36,36,37,пятый,5,пятый,Nom,Sing,Masc,И. Луначарская,Как связать азот,1966,статья,Пятый -- закись азота (N2O).,anaphoric order
37,37,38,первое,1,первый,Acc,Sing,Neut,И. Луначарская,Как связать азот,1966,статья,Это первое описание свойств азота.,order in time
38,38,39,первым,1,первый,Ins,Sing,Masc,И. Луначарская,Как связать азот,1966,статья,"но первым, кто более или менее основательно изучил азот, был англичанин Даниэль Резерфорд.",order in time
39,39,40,семидесятых,70,семидесятый,Gen,Plur,,И. Луначарская,Как связать азот,1966,статья,"Возможно, что азот, как и кислород, был открыт Карлом Шеепе в начале семидесятых годов XVIII в.",time period
40,40,41,десятитысячную,10000,десятитысячный,Nom,Sing,Masc,И. Луначарская,Как связать азот,1966,статья,"Удалось рассчитать, что для этого надо охлаждать струю на 1000°C за одну десятитысячную секунды (! ",fraction
41,41,42,десятитысячную,10000,десятитысячный,Nom,Sing,Masc,И. Луначарская,Как связать азот,1966,статья,"Промежутки эти очень невелики, весь процесс происходит за одну десятитысячную секунды.",fraction
42,42,43,четвертое,4,четвертый,Acc,Sing,Neut,И. Луначарская,Как связать азот,1966,статья,"Плазма -- четвертое качественное состояние вещества, в которое оно переходит при температуре в тысячи и миллионы градусов.",anaphoric order
43,43,44,первым,1,первый,Ins,Sing,Masc,И. Луначарская,Как связать азот,1966,статья,Возможность связывания азота воздуха с кислородом в электрическом разряде первым увидел англичанин Генри Кавендиш.,order in time
44,44,45,третьем,3,третий,Loc,Sing,Masc,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Именно за счет спортивной страсти мне, наверное, и удалось в третьем фрейме чуть сократить наметившийся разрыв в счете.",order in time
45,45,46,второго,2,второй,Gen,Sing,Masc,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Со второго удара мне удалось подбить пять кеглей, и я почувствовал, что приноравливаюсь к незнакомой игре.",order in time
46,46,47,первый,1,первый,Nom,Sing,Masc,Александр Зильберт,Игры покойных полинезийцев,1997,статья,Ну да первый шар комом.,order in time
47,47,48,первый,1,первый,Nom,Sing,Masc,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Усвоив эту бесхитростную технологию, я совершил первый подход.",order in time
48,48,49,второго,2,второй,Gen,Sing,Masc,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Ну а когда сколько-то целей и после второго шара остаются на своих местах, засчитывается «открытая» рамка и игроку присуждается лишь число очков, равное числу упавших кеглей.",order in time
49,49,50,вторым,2,второй,Ins,Sing,Masc,Александр Зильберт,Игры покойных полинезийцев,1997,статья,Сбил оставшиеся кегли вторым ударом -- вам засчитывается спэа («резерв»).,order in time
50,50,51,первого,1,первый,Gen,Sing,Masc,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Если какие-то кегли устояли после первого удара, бросается второй шар.",order in time
51,51,52,второй,2,второй,Nom,Sing,Masc,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Если какие-то кегли устояли после первого удара, бросается второй шар.",order in time
52,52,53,двенадцатый,12,двенадцатый,Nom,Sing,Masc,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Я взял себе «десятку», Олег -- двенадцатый.",size
53,53,54,шестнадцатого,16,шестнадцатый,Gen,Sing,Masc,Александр Зильберт,Игры покойных полинезийцев,1997,статья,Их в клубе было десять видов: от шестого номера (весом 6 фунтов) до шестнадцатого (16 фунтов).,size
54,54,55,шестого,6,шестой,Gen,Sing,Neut,Александр Зильберт,Игры покойных полинезийцев,1997,статья,Их в клубе было десять видов: от шестого номера (весом 6 фунтов) до шестнадцатого (16 фунтов).,size
55,55,56,семидесятых,70,семидесятый,Gen,Plur,,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"В семидесятых японцы открыли в Парке культуры заведение, где москвичи за деньги могли попасть шаром в нужное место.",time period
56,56,57,первым,1,первый,Ins,Sing,Masc,Александр Зильберт,Игры покойных полинезийцев,1997,статья,Перед первым в моей жизни выходом на дорожку мне надо было переобуться.,order in time
