,Center,Author,Header,Created,Type,Full context
0,пятая,Н. Н. Пунин,Письма М. А. Голубевой,1950,письмо личное,Посылки также стали опаздывать; пятая шла 20 дней; я изнемог в ожидании.
1,Первая,Н. Н. Пунин,Письма М. А. Голубевой,1950,письмо личное,"Первая «восторженная» посылка обрадовала всех, меня окружающих."
2,второе,Н. Н. Пунин,Письма М. А. Голубевой,1950,письмо личное,Пользуюсь своим правом послать тебе второе письмо в этом году.
3,первых,епископ Иларион (Алфеев),Русская церковь и объединяющаяся Европа: перспективы взаимоаействия,2002,статья,"Необходимо вмешаться в эту ситуацию и дать возможность всем, кто на Западе интересуется Русской Церковью, получать сведения о ней «из первых рук»."
4,первой,епископ Иларион (Алфеев),Русская церковь и объединяющаяся Европа: перспективы взаимоаействия,2002,статья,"Таким образом, первой и основной задачей брюссельского представительства Русской Православной Церкви является участие в тех дискуссиях о будущем Европы, которые уже идут в европейских международных организациях."
5,Второй,епископ Иларион (Алфеев),Русская церковь и объединяющаяся Европа: перспективы взаимоаействия,2002,статья,"После Второй мировой войны, когда Европа лежала в руинах, особенно очевидной стала необходимость общеевропейской консолидации для выживания не только европейского континента, но и всего мира."
6,третий,неизвестный,В свободную минуту,1908,загадка,Мой третий слог -- иные видят в этом
7,Второе,неизвестный,В свободную минуту,1908,загадка,"Второе, хоть не брачный, но союз."
8,первым,неизвестный,В свободную минуту,1908,загадка,Французы первым звали государей...
9,первый,,Отправка собак-санитаров в действующую армию,1915,заметка,Вчера из Москвы в действующую армию был отправлен первый русский отряд собак-санитаров питомника общества Московско-Казанской железной дороги.
10,второй,неизвестный,Изо дня в день. Цветок гигантского растения,1909,информационное сообщение,В ночь на сегодня в оранжереях Ботанического сада распустился второй белый цветок гигантского водяного растения с реки Амазонки «Викториа региа».
11,второй,неизвестный,Изо дня в день. Цветок гигантского растения,1909,информационное сообщение,В ночь на сегодня в оранжереях Ботанического сада распустился второй белый цветок гигантского водяного растения с реки Амазонки «Викториа региа».
12,первом,неизвестный,Вести,1906,информационное сообщение,"В ней, особенно в первом романсе Надира, г."
13,первый,неизвестный,Л. Н. Толстой и И. И. Мечников,1909,заметка,"И, несомненно, их близкая душевная беседа, в первый раз, на склоне лет, когда оба они достигли вершин своей славы и полного развития всех своих могучих сил, такая беседа имеет громадное значение."
14,первый,неизвестный,Московская хроника,1906,информационное сообщение,"Сегодня к утру в Москве выпал первый снег, который к полудню растаял."
15,седьмой,,Регион нуждается в рекламе,2003,заметка,"Уже сейчас каждый седьмой гражданин США, не работающий в военных структурах, занят в сфере туризма."
16,пятое,,Регион нуждается в рекламе,2003,заметка,"В частности, в США сфера туризма сейчас занимает пятое место, однако к 2005 году она должна выдвинуться на второе."
17,второе,,Регион нуждается в рекламе,2003,заметка,"В частности, в США сфера туризма сейчас занимает пятое место, однако к 2005 году она должна выдвинуться на второе."
18,первых,"А. Щербаков, А. Я. Малышев",От станка — в аудиторию!,1970,интервью,"Расскажите, пожалуйста, о тех проблемах, заботах, которые уже сейчас, после первых месяцев работы отделения, дают себя знать? "
19,пятого,"А. Щербаков, А. Я. Малышев",От станка — в аудиторию!,1970,интервью,"Более десяти лет производственного стажа имеет слесарь пятого разряда Константин Карицкий, а его тезка Константин Воюш после средней школы был трактористом, лотом служил в армии, теперь готовится в университет..."
20,первых,"А. Щербаков, А. Я. Малышев",От станка — в аудиторию!,1970,интервью,Что можно сказать о первых месяцах существования подготовительных отделений в вузах страны?» 
21,Первая,Инна Щепеткова,Сладкая парочка: угри + прыщи,2002,статья,Первая рассчитана на более грубую кожу и потому более активна.
22,Второй,Инна Щепеткова,Сладкая парочка: угри + прыщи,2002,статья,"Второй из реабилитационных лечебных кремов, Скинорен (с азелаиновой кислотой), -- мягкое, деликатное средство от угрей."
23,второго,Инна Щепеткова,Сладкая парочка: угри + прыщи,2002,статья,"Этот мелкий паразит, живущий в дерме у каждого второго из нас, обычно ведет себя тихо и незаметно."
24,Первая,Инна Щепеткова,Сладкая парочка: угри + прыщи,2002,статья,"Первая часть проблемы -- забота специалистов многих профилей: эндокринолога, гастроэнтеролога, отоларинголога и т.д."
25,первый,,Японский взгляд на русскую ипотеку,2004,заметка,"И это, безусловно, нужно расценивать как первый шаг в развитии сотрудничества в этой сфере."
26,втором,Людмила Карлова,Дневник,1966,"дневник, записные книжки","Слышала позже, что партийное начальство на втором отделении покинуло зал после вручения грамот...) "
27,вторым,Людмила Карлова,Дневник,1966,"дневник, записные книжки",Перед вторым отделением концерта состоялось вручение приветственных грамот и Адресов оркестру.
28,втором,Людмила Карлова,Дневник,1966,"дневник, записные книжки",Во втором отделении 13 Симфония Д. Шостаковича.
29,первом,Людмила Карлова,Дневник,1966,"дневник, записные книжки",В первом отделении Глинка.
30,Тринадцатой,Людмила Карлова,Дневник,1966,"дневник, записные книжки",Басы с хором Юрлова будут участвовать в исполнении в нашем Оперном Тринадцатой симфонии Дм.
31,вторая,И. Луначарская,Как связать азот,1966,статья,"Первая подавляет рост сорняков на полях злаковых культур, вторая применяется для очистки земель под пашни -- уничтожает мелкие деревья и кустарники."
32,Первая,И. Луначарская,Как связать азот,1966,статья,"Первая подавляет рост сорняков на полях злаковых культур, вторая применяется для очистки земель под пашни -- уничтожает мелкие деревья и кустарники."
33,Первым,И. Луначарская,Как связать азот,1966,статья,"Первым ее приготовил, действуя серной кислотой на селитру, один из крупнейших химиков XVII века Глаубер."
34,первому,И. Луначарская,Как связать азот,1966,статья,"Русскому биохимику С.Н. Виноградскому первому удалось выделить из почвы один вид бактерий, связывающих азот."
35,первым,И. Луначарская,Как связать азот,1966,статья,"Идею о том, что некоторые микроорганизмы могут связывать азот воздуха, первым высказал русский физик П. Коссович."
36,третьи,И. Луначарская,Как связать азот,1966,статья,"Вот как описывал действие закиси азота один из современников Дэви: «Одни джентльмены прыгали по столам и стульям, у других развязались языки, третьи обнаружили чрезвычайную склонность к потасовке»."
37,Пятый,И. Луначарская,Как связать азот,1966,статья,Пятый -- закись азота (N2O).
38,первое,И. Луначарская,Как связать азот,1966,статья,Это первое описание свойств азота.
39,первым,И. Луначарская,Как связать азот,1966,статья,"но первым, кто более или менее основательно изучил азот, был англичанин Даниэль Резерфорд."
40,семидесятых,И. Луначарская,Как связать азот,1966,статья,"Возможно, что азот, как и кислород, был открыт Карлом Шеепе в начале семидесятых годов XVIII в."
41,десятитысячную,И. Луначарская,Как связать азот,1966,статья,"Удалось рассчитать, что для этого надо охлаждать струю на 1000°C за одну десятитысячную секунды (! "
42,десятитысячную,И. Луначарская,Как связать азот,1966,статья,"Промежутки эти очень невелики, весь процесс происходит за одну десятитысячную секунды."
43,четвертое,И. Луначарская,Как связать азот,1966,статья,"Плазма -- четвертое качественное состояние вещества, в которое оно переходит при температуре в тысячи и миллионы градусов."
