"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" ;ьтавыдзапо илатс ежкат иклысоП";"яатяп";"Посылки также стали опаздывать; ";"пятая";" ";"шла 20 дней; я изнемог в";"Н. Н. Пунин. Письма М. А. Голубевой (1950)";"Н. Н. Пунин";"1888";"Письма М. А. Голубевой";"1950";"бытовая";"письмо личное";"частная жизнь";"Н. Н. Пунин. Дневники. Письма";"2000";"книга";"омонимия не снята";"Посылки также стали опаздывать; пятая шла 20 дней; я изнемог в ожидании."
"";"яавреП";"";"Первая";" «";"восторженная» посылка обрадовала всех, меня окружающих.";"Н. Н. Пунин. Письма М. А. Голубевой (1950)";"Н. Н. Пунин";"1888";"Письма М. А. Голубевой";"1950";"бытовая";"письмо личное";"частная жизнь";"Н. Н. Пунин. Дневники. Письма";"2000";"книга";"омонимия не снята";"Первая «восторженная» посылка обрадовала всех, меня окружающих."
" ебет ьталсоп моварп миовс ьсюузьлоП";"еоротв";"Пользуюсь своим правом послать тебе ";"второе";" ";"письмо в этом году.";"Н. Н. Пунин. Письма М. А. Голубевой (1950)";"Н. Н. Пунин";"1888";"Письма М. А. Голубевой";"1950";"бытовая";"письмо личное";"частная жизнь";"Н. Н. Пунин. Дневники. Письма";"2000";"книга";"омонимия не снята";"Пользуюсь своим правом послать тебе второе письмо в этом году."
" зи« йен о яинедевс ьтачулоп ,юьвокреЦ";"хывреп";"Церковью, получать сведения о ней «из ";"первых";" ";"рук».";"епископ Иларион (Алфеев). Русская церковь и объединяющаяся Европа: перспективы взаимоаействия // «Церковный вестник», 2002.11.10";"епископ Иларион (Алфеев)";"1966";"Русская церковь и объединяющаяся Европа: перспективы взаимоаействия";"2002";"публицистика";"статья";"религия";"«Церковный вестник»";"2002.11.10";"газета";"омонимия не снята";"Необходимо вмешаться в эту ситуацию и дать возможность всем, кто на Западе интересуется Русской Церковью, получать сведения о ней «из первых рук»."
" ,мозарбо микаТ";"йовреп";"Таким образом, ";"первой";" ";"и основной задачей брюссельского представительства Русской";"епископ Иларион (Алфеев). Русская церковь и объединяющаяся Европа: перспективы взаимоаействия // «Церковный вестник», 2002.11.10";"епископ Иларион (Алфеев)";"1966";"Русская церковь и объединяющаяся Европа: перспективы взаимоаействия";"2002";"публицистика";"статья";"религия";"«Церковный вестник»";"2002.11.10";"газета";"омонимия не снята";"Таким образом, первой и основной задачей брюссельского представительства Русской Православной Церкви является участие в тех дискуссиях о будущем Европы, которые уже идут в европейских международных организациях."
" елсоП";"йоротВ";"После ";"Второй";" ";"мировой войны, когда Европа лежала в";"епископ Иларион (Алфеев). Русская церковь и объединяющаяся Европа: перспективы взаимоаействия // «Церковный вестник», 2002.11.10";"епископ Иларион (Алфеев)";"1966";"Русская церковь и объединяющаяся Европа: перспективы взаимоаействия";"2002";"публицистика";"статья";"религия";"«Церковный вестник»";"2002.11.10";"газета";"омонимия не снята";"После Второй мировой войны, когда Европа лежала в руинах, особенно очевидной стала необходимость общеевропейской консолидации для выживания не только европейского континента, но и всего мира."
" йоМ";"йитерт";"Мой ";"третий";" ";"слог -- иные видят в этом";"В свободную минуту (1908.12.23) // «Петербургская газета», 1908";"неизвестный";"";"В свободную минуту";"1908";"публицистика";"загадка";"досуг, зрелища и развлечения";"«Петербургская газета»";"1908";"газета";"омонимия не снята";"Мой третий слог -- иные видят в этом"
"";"еоротВ";"";"Второе";", ";"хоть не брачный, но союз.";"В свободную минуту (1908.12.23) // «Петербургская газета», 1908";"неизвестный";"";"В свободную минуту";"1908";"публицистика";"загадка";"досуг, зрелища и развлечения";"«Петербургская газета»";"1908";"газета";"омонимия не снята";"Второе, хоть не брачный, но союз."
" ызуцнарФ";"мывреп";"Французы ";"первым";" ";"звали государей...";"В свободную минуту (1908.12.23) // «Петербургская газета», 1908";"неизвестный";"";"В свободную минуту";"1908";"публицистика";"загадка";"досуг, зрелища и развлечения";"«Петербургская газета»";"1908";"газета";"омонимия не снята";"Французы первым звали государей..."
" нелварпто лыб юимра юущюувтсйед в ывксоМ";"йывреп";"Москвы в действующую армию был отправлен ";"первый";" ";"русский отряд собак-санитаров питомника общества";"Отправка собак-санитаров в действующую армию (1915.02.17) // «Русское слово», 1915";"";"";"Отправка собак-санитаров в действующую армию";"1915";"публицистика";"заметка";"природа | армия и вооруженные конфликты";"«Русское слово»";"1915";"газета";"омонимия не снята";"Вчера из Москвы в действующую армию был отправлен первый русский отряд собак-санитаров питомника общества Московско-Казанской железной дороги."
